Cycle,Cost,deadline,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,
144,16696.118826,6999.271056,3461.242122,3384.206191,475.961394,4004.438314,4028.974568,N/A,N/A,N/A,N/A,
145,37444.062513,9156.396835,3216.408040,2976.350574,1672.533095,1313.279197,334.363270,1619.077194,2600.647029,3455.377665,4255.464403,
146,56668.812963,11081.996545,4364.332058,3338.568427,1931.435253,1557.842357,2176.482579,2368.417079,3509.107278,4440.285729,4699.327810,
147,23947.380377,5404.142058,1843.847720,1763.373982,1742.025086,168.026082,1015.479584,1804.565947,2082.331621,4329.336939,N/A,
148,17871.031576,5784.722014,2542.001970,2437.682031,866.341312,1365.904273,2798.808539,3882.730423,N/A,N/A,N/A,
149,23888.098916,6551.984702,3071.781971,2562.407552,478.695217,449.823271,547.686058,1785.520762,3543.161364,4363.755252,N/A,
150,25367.697710,7434.199528,3167.849923,2551.227749,1570.867600,579.291327,1941.956590,3713.242239,4249.469466,N/A,N/A,
151,23526.919522,8343.191416,3914.795152,2282.623182,2148.754263,2481.540936,2724.675301,4046.852043,N/A,N/A,N/A,
152,14238.937081,5417.470443,3292.882766,1607.198421,580.084958,1100.727044,1920.982069,4202.032071,N/A,N/A,N/A,
153,6181.284671,3156.940723,1780.766856,1118.495438,68.887985,422.615490,4079.782285,N/A,N/A,N/A,N/A,
154,28413.403352,7435.341655,3609.695435,2929.913728,841.539581,236.502943,1105.830638,1380.093292,4613.177742,4936.323656,N/A,
155,23216.545851,5945.615098,2378.056807,2177.829503,1201.182327,116.299668,429.265979,1737.985446,3524.398959,4307.634518,N/A,
156,11930.512482,5144.753588,4215.015707,809.798186,1178.447821,1445.601334,4814.107860,N/A,N/A,N/A,N/A,
157,21039.419894,7379.964536,3131.404841,2159.491178,2022.920332,1574.398467,2860.941698,4389.009257,N/A,N/A,N/A,
158,29208.796052,6405.093979,3876.574332,2096.485505,659.632059,2229.607057,2262.490177,2583.307557,4237.738804,N/A,N/A,
159,13154.472996,5265.888394,3096.841977,1328.039216,1008.406544,2619.776936,4402.667477,N/A,N/A,N/A,N/A,
160,13648.278874,5020.879580,4210.933441,829.761900,776.084525,2947.411613,4535.992893,N/A,N/A,N/A,N/A,
161,23919.784024,6414.116568,3077.035306,1885.449591,1288.305446,174.849780,345.033055,414.143438,1759.650230,3216.521898,3804.870027,
162,23605.286022,8694.573391,4543.451508,2112.324862,1122.356808,987.206587,109.972558,120.922278,1225.999274,3337.763917,4687.251105,
163,17551.012426,7701.835500,4409.802204,1966.724617,1229.739643,69.206068,1071.366551,2865.470352,3972.149960,N/A,N/A,
164,25824.255494,6599.140552,4137.810734,1089.395865,744.380677,559.827642,24.709158,3210.585836,3870.213763,4095.593687,N/A,
